"GEOID","Pop_total","Limited_Eng","B16004_001E","Poverty","B17021_001E","Uninsured","B27010_001E","NonHisp_asian","NonHisp_pi","NonHisp_black","NonHisp_white","Hisp","NonHisp_ai","Male","Female","Age_5under","Age_5to14","Age_15to17","Age_18to20","Age_21to64","Age_65above","vac_per"
"060375431003",1153,115,988,264,1148,89,1148,4,0,589,7,543,0,572,581,165,121,3,26,780,58,48.7
"060375431004",1616,281,1462,141,1616,170,1616,101,0,310,14,929,0,710,906,154,351,151,64,823,73,48.7
"060375432021",1025,89,914,180,1025,176,1025,85,163,98,12,654,0,319,706,111,157,78,66,538,75,48.7
"060375433041",1183,0,1183,24,1183,140,1183,80,0,707,337,19,0,684,499,0,132,58,13,736,244,67.1
"060372409004",1201,141,1013,350,1201,226,1201,0,0,589,0,612,0,616,585,188,265,25,0,631,92,45.4
"060375433043",1446,20,1315,115,1355,54,1446,0,0,1335,44,67,0,541,905,131,177,81,96,667,294,67.1
"060375319014",880,220,847,243,859,145,880,6,0,0,5,869,0,456,424,33,130,14,23,598,82,59
"060375337031",2011,631,1855,587,2011,293,2011,0,0,0,0,2011,0,993,1018,156,262,145,115,1247,86,55.2
"060375342011",3174,637,2915,1073,3051,686,3051,8,0,37,62,3058,4,1557,1617,259,742,123,161,1606,283,55.5
"060373008001",2388,88,2324,235,2388,122,2388,415,0,18,1394,476,0,1186,1202,64,354,13,95,1494,368,55.2
"060373107022",1976,332,1951,536,1976,163,1976,490,0,52,1181,164,0,809,1167,25,50,23,0,1261,617,67.2
"060373117004",941,33,919,104,785,12,785,41,0,58,531,230,0,461,480,22,46,20,25,592,236,67.2
"060375729003",1254,49,1186,52,1254,38,1254,461,0,168,77,360,0,607,647,68,229,56,40,721,140,61.3
"060375737005",597,4,468,0,586,0,586,11,1,3,383,199,0,284,313,129,29,23,28,305,83,67.8
"060375737001",954,0,875,22,954,40,954,71,0,0,477,352,0,476,478,79,115,29,50,530,151,61.3
"060375746011",2276,0,2276,0,0,37,2276,348,7,79,1214,508,0,953,1323,0,0,57,1792,427,0,61.3
"060375775011",1189,0,1178,88,1189,9,1189,66,0,39,721,333,0,561,628,11,67,73,33,684,321,61.3
"060374073022",997,103,944,85,997,42,997,162,0,0,29,806,0,392,605,53,186,47,17,591,103,63.8
"060371920022",923,0,868,93,923,17,923,88,29,43,534,29,0,463,460,55,44,41,0,729,54,64.8
"060375010022",988,7,925,29,988,59,988,0,0,0,136,837,0,500,488,63,101,53,83,526,162,62.4
"060375312021",1465,348,1374,138,1465,209,1465,36,0,32,0,1397,0,706,759,91,229,33,0,775,337,59
"060372122042",1632,643,1530,504,1632,557,1632,221,0,156,49,1171,17,866,766,102,188,80,88,1098,76,62.6
"060372123061",1643,619,1499,280,1643,610,1643,689,0,11,86,857,0,1010,633,144,148,0,16,1226,109,59.8
"060372286001",3075,1094,2898,1132,3015,618,3075,4,0,196,23,2836,15,1560,1515,177,656,200,91,1813,138,49.8
"060372322001",998,224,976,316,985,59,985,0,0,148,13,836,0,513,485,22,133,98,16,611,118,56.2
"060372348002",990,70,955,123,990,39,990,0,0,425,31,527,0,500,490,35,145,7,27,542,234,52.4
"060372348003",668,66,668,2,668,33,668,0,46,307,0,315,0,433,235,0,43,10,38,532,45,52.4
"060372944101",2550,316,2249,732,2550,217,2550,349,360,786,75,968,0,1021,1529,301,608,227,75,1238,101,59
"060372962102",775,139,666,246,775,115,775,10,0,85,73,600,0,402,373,109,124,6,0,456,80,54
"060374329021",721,192,721,73,640,78,640,329,0,0,39,353,0,321,400,0,41,6,21,419,234,62.4
"060374336021",2896,964,2777,549,2896,181,2896,1852,0,0,93,945,0,1363,1533,119,385,103,114,1636,539,72.4
"060375401021",1617,200,1469,180,1617,206,1617,0,0,109,0,1508,0,874,743,148,261,53,63,974,118,54.7
"060375424013",438,102,438,0,438,55,438,0,0,157,0,281,0,203,235,0,86,0,15,276,61,48.7
"060375432011",1512,216,1365,181,1512,183,1512,37,0,510,78,887,0,727,785,147,260,88,50,788,179,48.7
"060375512021",1837,165,1771,206,1761,38,1827,43,0,13,250,1531,0,751,1086,66,346,118,60,1045,202,64.3
"060375512024",2938,394,2595,612,2938,447,2938,180,0,138,220,2380,0,1270,1668,343,282,136,244,1696,237,64.3
"060372319001",2238,632,2201,697,2238,333,2238,0,0,322,18,1885,0,1096,1142,37,337,111,262,1242,249,49
"060372328002",2559,679,2250,1049,2526,509,2559,0,0,299,27,2220,0,1415,1144,309,407,108,135,1444,156,49
"060372346004",1703,5,1586,64,1696,100,1696,29,0,958,198,297,0,787,916,117,258,60,48,887,333,52.4
"060372379002",1667,168,1612,309,1667,273,1667,0,0,1029,14,624,0,745,922,55,289,89,37,1078,119,50.2
"060372379001",954,0,829,202,954,43,954,0,0,780,0,111,0,339,615,125,86,42,0,591,110,50.2
"060374602004",731,0,669,56,731,14,731,41,0,188,354,57,0,404,327,62,25,10,0,554,80,69.3
"060371012202",2576,593,2459,518,2576,271,2576,272,0,87,1106,1070,0,1154,1422,117,337,77,152,1483,410,51.7
"060371034005",2580,100,2499,213,2580,123,2580,447,0,96,1598,393,0,1274,1306,81,194,0,179,1579,547,54.6
"060371041051",1777,171,1720,162,1777,87,1777,512,0,86,265,821,31,943,834,57,215,84,73,1170,178,55.7
"060375517001",1934,115,1856,231,1934,219,1922,44,0,0,269,1599,0,891,1043,78,223,127,93,1222,191,64.3
"060375521004",1078,158,931,23,1078,27,1078,242,0,63,74,692,0,633,445,147,116,47,21,633,114,61.9
"060375404001",811,193,759,155,811,160,811,0,0,120,4,687,0,391,420,52,162,53,41,472,31,49.3
"060375418011",1450,200,1209,178,1450,242,1450,0,0,282,49,1048,0,616,834,241,214,23,38,849,85,54.7
"060375422003",1395,334,1279,334,1395,151,1395,0,0,337,0,1051,0,807,588,116,253,44,36,830,116,48.7
"060371375023",1655,34,1512,117,1655,171,1655,158,0,65,995,270,35,841,814,143,69,79,33,1017,314,72.5
"060371397022",702,29,689,37,702,0,702,37,0,0,620,45,0,338,364,13,28,40,0,354,267,74.6
"060371435001",1091,0,1040,62,1091,0,1091,53,0,76,783,69,0,568,523,51,174,31,14,656,165,71.5
"060371435002",1095,39,1033,48,1095,40,1095,33,0,32,981,15,0,552,543,62,118,34,0,703,178,71.5
"060374811021",1640,351,1551,118,1585,313,1585,812,0,39,250,473,0,866,774,89,260,38,27,1106,120,74.1
"060374812023",891,180,875,77,891,96,891,534,0,0,123,234,0,478,413,16,87,9,25,584,170,68.9
"060374818001",588,121,578,32,588,39,588,316,0,0,121,151,0,241,347,10,25,32,0,348,173,71.5
"060374820012",735,85,735,26,735,76,735,581,0,0,39,98,0,332,403,0,55,33,23,386,238,76.1
"060374820021",1161,170,1153,141,1161,0,1161,849,0,0,40,211,61,508,653,8,119,30,76,522,406,76.1
"060379005041",1468,96,1400,499,1468,86,1468,65,0,422,346,590,0,720,748,68,323,32,62,908,75,45.8
